Datasets,# classes,# train,# test,length,,1NN-DTW,TSF,RISE,BOSS,FCN,ResNet,HIVE-COTE,PF,TS-CHIEF,STSF,,,,1NN-DTW,TSF,RISE,BOSS,FCN,ResNet,HIVE-COTE,PF,TS-CHIEF,STSF
Herring,2,64,64,512,,0.5312,0.6094,0.6406,0.5469,0.6080,0.6190,0.6875,0.5797,0.5881,0.6297,,,,10,5,2,9,6,4,1,8,7,3
InlineSkate,7,100,550,1884,,0.3873,0.3764,0.3491,0.5164,0.3390,0.3730,0.5000,0.5418,0.5269,0.5547,,,,6,7,9,4,10,8,5,2,3,1
InsectWingbeatSound,11,220,1980,256,,0.5737,0.6328,0.6551,0.5232,0.3930,0.5070,0.6551,0.6187,0.6429,0.6656,,,,7,5,2.5,8,10,9,2.5,6,4,1
ItalyPowerDemand,2,67,1029,24,,0.9553,0.9602,0.9534,0.9086,0.9610,0.9630,0.9631,0.9671,0.9706,0.9702,,,,8,7,9,10,6,5,4,3,1,2
LargeKitchenAppliances,3,375,375,720,,0.7947,0.5707,0.6373,0.7653,0.9020,0.9000,0.8640,0.7819,0.8068,0.7939,,,,5,10,9,8,1,2,3,7,4,6
Lightning2,2,60,61,637,,0.8689,0.8033,0.7049,0.8361,0.7390,0.7700,0.8197,0.8656,0.7481,0.7246,,,,1,5,10,3,8,6,4,2,7,9
Lightning7,7,70,73,319,,0.7123,0.7534,0.6986,0.6849,0.8270,0.8450,0.7397,0.8219,0.7634,0.7699,,,,8,6,9,10,2,1,7,3,5,4
Mallat,8,55,2345,1024,,0.9143,0.9194,0.9215,0.9382,0.9670,0.9720,0.9620,0.9576,0.9750,0.9688,,,,10,9,8,7,4,2,5,6,1,3
Meat,3,60,60,448,,0.9333,0.9333,0.9333,0.9000,0.8530,0.9680,0.9333,0.9333,0.8879,0.9317,,,,6,3.5,3.5,8,10,1,3.5,3.5,9,7
MedicalImages,10,381,760,99,,0.7474,0.7553,0.6618,0.7184,0.7790,0.7700,0.7776,0.7582,0.7958,0.7859,,,,8,7,10,9,3,5,4,6,1,2
