Datasets,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,Accuracy,TrainingTime (seconds),TestingTime (seconds),TotalTime (seconds),TotalFeatures,TotalNodes
InsectWingbeatSound,0.6677,0.6667,0.6641,0.6657,0.6652,0.6667,0.6646,0.6687,0.6672,0.6596,0.6656,82.62898838,5.990744169,88.61973255,210.9086,24.0218
ItalyPowerDemand,0.9718,0.9708,0.9699,0.9699,0.9708,0.9708,0.9699,0.9699,0.9708,0.9708,0.9706,17.1602543,0.706479245,17.86673354,78.3298,2.1688
LargeKitchenAppliances,0.7893,0.792,0.792,0.8,0.784,0.8,0.7893,0.7947,0.8053,0.792,0.7939,163.7412573,4.155531641,167.896789,271.6664,22.4544
Lightning2,0.7213,0.7213,0.6885,0.7213,0.7541,0.7377,0.7213,0.7049,0.7377,0.7377,0.7246,69.20679446,1.631699909,70.83849437,264.6606,3.952
Lightning7,0.7808,0.7808,0.7671,0.7671,0.7671,0.7671,0.7671,0.7808,0.7671,0.7534,0.7699,57.93338578,1.350526315,59.28391209,225.0646,8.474
Mallat,0.9706,0.9672,0.9693,0.9663,0.9697,0.9697,0.9693,0.9676,0.9676,0.9706,0.9688,94.57064859,11.04098849,105.6116371,292.4954,7.296
Meat,0.9333,0.9333,0.9333,0.9333,0.9333,0.9,0.9333,0.9333,0.9333,0.95,0.9317,44.87895103,0.920006762,45.79895779,242.072,2.572
MedicalImages,0.7855,0.7789,0.7921,0.7908,0.7934,0.7816,0.7855,0.775,0.7855,0.7908,0.7859,71.62261478,3.094453149,74.71706793,154.8994,37.632
MiddlePhalanxOutlineAgeGroup,0.5649,0.5649,0.5584,0.5584,0.5779,0.5649,0.5714,0.5779,0.5779,0.5649,0.5682,45.97114913,1.775085838,47.74623497,145.5188,23.5354
MiddlePhalanxOutlineCorrect,0.8351,0.8144,0.8247,0.8351,0.8144,0.8144,0.8282,0.8316,0.811,0.8179,0.8227,52.68723865,2.09456456,54.78180321,144.5364,33.6382
MiddlePhalanxTW,0.6104,0.5974,0.6104,0.6039,0.5909,0.539,0.539,0.5974,0.6104,0.5909,0.589,63.87184387,2.479814918,66.35165879,145.0406,41.6334
MoteStrain,0.9249,0.9305,0.9209,0.9297,0.9265,0.9185,0.9233,0.9273,0.9137,0.9209,0.9236,26.32691639,1.04364971,27.3705661,147.9104,1.5254
NonInvasiveFetalECGThorax1,0.9313,0.9379,0.9308,0.9313,0.9308,0.9313,0.9338,0.9308,0.9359,0.9333,0.9327,852.4658899,30.71289354,883.1787834,275.8914,110.2408
NonInvasiveFetalECGThorax2,0.9399,0.9394,0.9399,0.9394,0.941,0.9415,0.9415,0.9425,0.9415,0.9394,0.9406,836.375573,25.92807932,862.3036523,275.3214,96.4166
OliveOil,0.9333,0.9333,0.9333,0.9333,0.9333,0.9333,0.9333,0.9333,0.9333,0.9333,0.9333,51.14155305,1.066259679,52.20781273,258.1714,3.5142
OSULeaf,0.8099,0.7727,0.8017,0.7975,0.8017,0.8099,0.8017,0.7934,0.8058,0.7893,0.7983,79.16087624,2.317321448,81.47819769,240.3796,16.4408
PhalangesOutlinesCorrect,0.8287,0.8403,0.8322,0.8368,0.831,0.831,0.8357,0.8322,0.824,0.8252,0.8317,144.2060038,5.605035,149.8110388,144.0576,98.9608
Phoneme,0.3254,0.3201,0.3265,0.3328,0.317,0.3244,0.3223,0.3244,0.3365,0.3223,0.3252,256.8725322,23.48291331,280.3554455,292.1866,43.6706
Plane,1,1,1,1,1,1,1,1,1,1,1,41.31658197,0.918824301,42.23540627,177.832,6.5058
ProximalPhalanxOutlineAgeGroup,0.8488,0.839,0.8488,0.8488,0.839,0.8439,0.8488,0.8439,0.839,0.8439,0.8444,42.58567561,1.545699437,44.13137505,145.2896,18.4818
ProximalPhalanxOutlineCorrect,0.9141,0.8969,0.8969,0.9141,0.9038,0.9072,0.9072,0.9072,0.9038,0.9003,0.9052,50.13643048,1.81687131,51.95330179,145.2448,29.4212
ProximalPhalanxTW,0.761,0.7659,0.7659,0.7707,0.761,0.7561,0.7707,0.7805,0.761,0.7561,0.7649,49.47608508,1.573936166,51.05002125,145.7492,25.2002
RefrigerationDevices,0.5787,0.584,0.576,0.5893,0.584,0.568,0.5893,0.5787,0.576,0.5787,0.5803,117.4643294,3.497853125,120.9621825,272.041,26.9852
ScreenType,0.5253,0.528,0.5387,0.536,0.544,0.5173,0.5387,0.536,0.536,0.5333,0.5333,115.4787584,3.434446685,118.9132051,271.7544,33.5154
ShapeletSim,0.9833,0.9778,0.9833,0.9833,0.9833,0.9889,0.9833,0.9833,0.9833,0.9833,0.9833,36.23627258,0.849880332,37.08615292,249.5238,1.5192
ShapesAll,0.8517,0.8617,0.8617,0.85,0.8433,0.85,0.8533,0.8483,0.85,0.8517,0.8522,362.6628642,8.087336065,370.7502002,252.3664,77.7134
SmallKitchenAppliances,0.8293,0.832,0.8293,0.8373,0.8453,0.832,0.832,0.8373,0.8373,0.832,0.8344,106.5575465,2.507656751,109.0652033,272.4152,21.6732
SonyAIBORobotSurface1,0.9168,0.9218,0.9118,0.9334,0.9235,0.9068,0.9052,0.8802,0.8752,0.8918,0.9067,20.16832865,0.644865703,20.81319435,136.6804,1.5178
SonyAIBORobotSurface2,0.8363,0.8311,0.809,0.8395,0.8405,0.8363,0.8416,0.83,0.8311,0.83,0.8325,20.03562454,0.703907642,20.73953219,132.4154,1.7646
StarLightCurves,0.9783,0.9786,0.978,0.9775,0.9788,0.979,0.9785,0.9786,0.9781,0.9783,0.9784,352.1092872,59.95541277,412.0647,293.3822,16.4602
Strawberry,0.9622,0.9676,0.9622,0.9649,0.9649,0.9676,0.9622,0.9595,0.9622,0.9649,0.9638,78.33075154,1.51450599,79.84525753,204.4766,11.6294
SwedishLeaf,0.9408,0.9376,0.944,0.944,0.9424,0.936,0.9456,0.9424,0.944,0.952,0.9429,88.65620285,2.581647687,91.23785054,171.706,32.991
Symbols,0.8814,0.8915,0.8754,0.8744,0.8864,0.8834,0.8824,0.8784,0.8925,0.8935,0.8839,43.68538985,1.701949466,45.38733931,235.0396,4.0956
SyntheticControl,0.99,0.9933,0.99,0.99,0.9933,0.9933,0.9867,0.99,0.99,0.9867,0.9903,34.95545598,0.81286142,35.7683174,128.573,9.3356
ToeSegmentation1,0.8421,0.8596,0.864,0.8289,0.864,0.8421,0.8289,0.8465,0.8465,0.8202,0.8443,33.49953777,0.954805079,34.45434284,215.6212,3.069
ToeSegmentation2,0.8846,0.8846,0.8846,0.8846,0.8846,0.8846,0.8846,0.8846,0.8846,0.8846,0.8846,35.0612884,0.870845425,35.93213383,229.0562,2.0436
Trace,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,43.29411049,1.053175826,44.34728632,215.0988,3.9142
TwoLeadECG,0.9868,0.9895,0.9851,0.9868,0.9903,0.9877,0.9851,0.9895,0.9851,0.986,0.9872,21.58899942,0.81188888,22.4008883,145.9242,1.7384
TwoPatterns,0.9975,0.998,0.9978,0.997,0.997,0.9975,0.998,0.9973,0.9983,0.9983,0.9977,94.86753492,7.529009654,102.3965446,169.9084,37.089
UWaveGestureLibraryAll,0.9537,0.9537,0.9573,0.9551,0.9531,0.9551,0.9551,0.9551,0.9539,0.9559,0.9548,317.4872927,40.99177889,358.4790716,287.0686,38.292
UWaveGestureLibraryX,0.8085,0.8085,0.8116,0.8138,0.8155,0.8121,0.8076,0.8121,0.811,0.8096,0.811,164.44336,23.85364778,188.2970078,224.44,60.5376
UWaveGestureLibraryY,0.7448,0.7409,0.7409,0.7406,0.7415,0.7401,0.7409,0.746,0.739,0.7409,0.7416,166.8509132,24.82558373,191.6764969,224.9404,67.3454
UWaveGestureLibraryZ,0.7577,0.7566,0.7607,0.7585,0.7574,0.7599,0.7627,0.7605,0.7571,0.7549,0.7586,166.0689518,25.52450321,191.593455,223.4066,65.699
Wafer,0.9997,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,84.5072399,3.709719775,88.21695968,182.0276,3.2194
Wine,0.6296,0.6481,0.7407,0.6852,0.6481,0.6852,0.6852,0.6667,0.6111,0.6852,0.6685,32.58461604,0.824322454,33.4089385,204.1888,3.6444
WordSynonyms,0.6317,0.6238,0.6285,0.6489,0.6411,0.6395,0.6364,0.6426,0.6379,0.6332,0.6364,123.3996967,4.150810788,127.5505075,213.9916,43.3944
Worms,0.7662,0.7532,0.7662,0.7662,0.7532,0.7532,0.7922,0.7662,0.7792,0.7792,0.7675,102.3424803,2.264674064,104.6071544,284.1152,18.1738
WormsTwoClass,0.7922,0.7792,0.8052,0.8052,0.8182,0.7922,0.7922,0.7532,0.7662,0.8052,0.7909,84.82172077,1.55728146,86.37900223,283.374,11.519
Yoga,0.8267,0.8287,0.8313,0.8273,0.8257,0.825,0.8297,0.8263,0.8347,0.8247,0.828,78.87066693,8.392763059,87.26342999,240.1222,15.894
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Average accuracy,0.8247,0.8258,0.8263,0.8283,0.8272,0.8251,0.8262,0.8262,0.8261,0.8244,0.826,11448.1045,516.0833342,11964.18784,,
